time,tcp,udp,icmp,bitrate
1,22206,0,0,326291776.00
2,25466,0,0,338096704.00
3,28212,0,0,376041408.00
4,16916,0,0,296069440.00
5,22651,0,0,323383968.00
6,29991,0,0,372089952.00
7,22500,0,0,334094272.00
8,20281,0,0,317764448.00
9,19516,0,0,309708096.00
10,17555,0,0,305532960.00
11,21599,0,0,324822944.00
12,19694,0,0,304117568.00
13,15786,0,0,289761024.00
14,15470,0,0,297240256.00
15,18691,0,0,313546720.00
16,26511,0,0,344589856.00
17,27051,0,0,350780256.00
18,26934,0,0,355133504.00
19,22851,0,0,338155680.00
20,20315,0,0,321369632.00
21,15496,0,0,296474944.00
22,25237,0,0,340978528.00
23,21703,0,0,322885344.00
24,17247,0,0,306829664.00
25,16798,0,0,298441408.00
26,20928,0,0,315102848.00
27,22096,0,0,324589504.00
28,26473,0,0,352937696.00
29,21821,0,0,326490720.00
30,25685,0,0,340875296.00
31,25831,0,0,349056416.00
32,22847,0,0,338628960.00
33,24299,0,0,333012384.00
34,22488,0,0,329919040.00
35,18187,0,0,303409568.00
36,16442,0,0,307664768.00
37,19663,0,0,315781344.00
38,23589,0,0,333944928.00
39,25982,0,0,345736704.00
40,26315,0,0,347844512.00
41,21041,0,0,326988704.00
42,18300,0,0,303305984.00
43,25935,0,0,347674848.00
44,26849,0,0,353928160.00
45,19920,0,0,319085440.00
46,17264,0,0,309767488.00
47,16487,0,0,300350816.00
48,17876,0,0,296341376.00
49,20978,0,0,323753728.00
50,26109,0,0,343009376.00
51,18148,0,0,307134976.00
52,18471,0,0,309609312.00
53,20747,0,0,331986528.00
54,26551,0,0,351070368.00
55,26496,0,0,351730944.00
56,23015,0,0,323222624.00
57,16516,0,0,300942080.00
58,19812,0,0,325133696.00
59,22230,0,0,334039872.00
60,21142,0,0,316179216.00
