time,tcp,udp,icmp,bitrate
1,12616,0,0,231124672.00
2,10668,0,0,215938560.00
3,13068,0,0,240637824.00
4,10788,0,0,217899840.00
5,10301,0,0,212079008.00
6,12117,0,0,224673312.00
7,14021,0,0,236157408.00
8,9470,0,0,193778112.00
9,10427,0,0,208192864.00
10,11499,0,0,230173472.00
11,10404,0,0,201534080.00
12,11949,0,0,222240288.00
13,11828,0,0,224495168.00
14,13236,0,0,226841664.00
15,12456,0,0,237533568.00
16,11028,0,0,211477888.00
17,13630,0,0,233666368.00
18,14290,0,0,246115712.00
19,9705,0,0,208286368.00
20,10524,0,0,220512256.00
21,11462,0,0,218967936.00
22,15114,0,0,240863424.00
23,9060,0,0,192020544.00
24,9521,0,0,212113632.00
25,14251,0,0,224530080.00
26,13756,0,0,244619328.00
27,11538,0,0,212651520.00
28,9861,0,0,211733792.00
29,10371,0,0,207462944.00
30,10000,0,0,209162048.00
31,10906,0,0,225015168.00
32,12897,0,0,225762336.00
33,13561,0,0,226640928.00
34,13085,0,0,233277472.00
35,10523,0,0,204016224.00
36,11413,0,0,227716640.00
37,10204,0,0,202423936.00
38,9018,0,0,215634432.00
39,10710,0,0,214797632.00
40,11242,0,0,214080640.00
41,12306,0,0,221543168.00
42,13376,0,0,221420672.00
43,11241,0,0,225710560.00
44,10240,0,0,208821696.00
45,11691,0,0,230867296.00
46,14241,0,0,231140384.00
47,12077,0,0,236912544.00
48,10329,0,0,202232672.00
49,11423,0,0,208618784.00
50,10475,0,0,202154400.00
51,12924,0,0,228484224.00
52,9820,0,0,193923712.00
53,8998,0,0,193396416.00
54,9398,0,0,212989184.00
55,9726,0,0,209314496.00
56,10054,0,0,200044736.00
57,11897,0,0,212661856.00
58,11801,0,0,208196832.00
59,10573,0,0,217625056.00
60,9772,0,0,218730936.00
