time,tcp,udp,icmp,bitrate
1,13994,0,0,285957376.00
2,11733,0,0,283719392.00
3,13349,0,0,267953952.00
4,13407,0,0,301224160.00
5,13597,0,0,283660768.00
6,13658,0,0,292988096.00
7,12548,0,0,283456064.00
8,14288,0,0,288686080.00
9,14546,0,0,290345664.00
10,14814,0,0,298658624.00
11,13730,0,0,298775296.00
12,13243,0,0,277767840.00
13,12972,0,0,287571008.00
14,13068,0,0,279977088.00
15,12388,0,0,276566528.00
16,14833,0,0,299593248.00
17,12874,0,0,287843008.00
18,13185,0,0,294077152.00
19,12504,0,0,293689600.00
20,14605,0,0,285759776.00
21,12608,0,0,290315584.00
22,11520,0,0,287708352.00
23,14360,0,0,285043904.00
24,14249,0,0,289596576.00
25,12129,0,0,285390048.00
26,14311,0,0,289390688.00
27,13266,0,0,289546752.00
28,12198,0,0,275560768.00
29,13365,0,0,288777056.00
30,12675,0,0,285443424.00
31,14913,0,0,296857952.00
32,15066,0,0,294037184.00
33,14598,0,0,297039680.00
34,13626,0,0,291410944.00
35,13959,0,0,286649440.00
36,14630,0,0,297087744.00
37,12438,0,0,262860288.00
38,13896,0,0,292206720.00
39,12283,0,0,294049440.00
40,11400,0,0,275414144.00
41,12930,0,0,289858752.00
42,14023,0,0,293811808.00
43,14190,0,0,295977984.00
44,14200,0,0,285776640.00
45,13686,0,0,274395840.00
46,14228,0,0,307102848.00
47,18684,0,0,296909184.00
48,17937,0,0,277322656.00
49,14983,0,0,293944736.00
50,11765,0,0,271187232.00
51,12521,0,0,269914720.00
52,11772,0,0,282472960.00
53,13070,0,0,284333504.00
54,12399,0,0,280625504.00
55,12820,0,0,293763136.00
56,13751,0,0,287570720.00
57,14235,0,0,286648416.00
58,11840,0,0,281180672.00
59,13878,0,0,286476736.00
60,14648,0,0,289985352.00
