time,tcp,udp,icmp,bitrate
1,16321,0,0,272178976.00
2,23555,0,0,327107808.00
3,20070,0,0,300671360.00
4,16535,0,0,281500448.00
5,25286,0,0,332635264.00
6,18809,0,0,300088864.00
7,20936,0,0,317932672.00
8,21146,0,0,304165568.00
9,19398,0,0,294460800.00
10,17801,0,0,276293024.00
11,19980,0,0,299915712.00
12,15373,0,0,265656672.00
13,18437,0,0,287898336.00
14,25436,0,0,346447872.00
15,15500,0,0,265871680.00
16,21232,0,0,305568256.00
17,23489,0,0,328018656.00
18,17122,0,0,280702080.00
19,16705,0,0,274493344.00
20,15458,0,0,263456320.00
21,19912,0,0,312513984.00
22,20341,0,0,312773536.00
23,22037,0,0,316653088.00
24,22959,0,0,308997344.00
25,25018,0,0,336821440.00
26,16922,0,0,279808000.00
27,16268,0,0,270616256.00
28,19734,0,0,296268672.00
29,26411,0,0,346644960.00
30,26390,0,0,354501760.00
31,23053,0,0,321211232.00
32,16917,0,0,285007136.00
33,21769,0,0,313193824.00
34,17631,0,0,296783904.00
35,17396,0,0,290268608.00
36,16334,0,0,278323904.00
37,17874,0,0,281362432.00
38,16566,0,0,270473792.00
39,16131,0,0,270072736.00
40,16018,0,0,270326912.00
41,17610,0,0,271383040.00
42,22998,0,0,317354048.00
43,23856,0,0,327707968.00
44,20532,0,0,311300736.00
45,22323,0,0,319668064.00
46,18471,0,0,298511840.00
47,21796,0,0,318753792.00
48,24666,0,0,330373312.00
49,25877,0,0,338731040.00
50,23004,0,0,319186816.00
51,19394,0,0,306436992.00
52,16801,0,0,281657440.00
53,26162,0,0,345510400.00
54,21379,0,0,313066336.00
55,22027,0,0,316857440.00
56,23725,0,0,325093408.00
57,17537,0,0,275534496.00
58,22362,0,0,323171072.00
59,19370,0,0,285436800.00
60,16795,0,0,270560176.00
