time,tcp,udp,icmp,bitrate
1,0,79235,0,935606880.00
2,0,79153,0,934638624.00
3,0,79236,0,935618688.00
4,0,79266,0,935972928.00
5,0,79229,0,935536032.00
6,0,79237,0,935630496.00
7,0,79282,0,936161856.00
8,0,79342,0,936870336.00
9,0,79230,0,935547840.00
10,0,79324,0,936657792.00
11,0,79297,0,936338976.00
12,0,79327,0,936693216.00
13,0,79323,0,936645984.00
14,0,79302,0,936398016.00
15,0,79285,0,936197280.00
16,0,79264,0,935949312.00
17,0,79291,0,936268128.00
18,0,79290,0,936256320.00
19,0,79312,0,936516096.00
20,0,79260,0,935902080.00
21,0,79306,0,936445248.00
22,0,79252,0,935807616.00
23,0,79290,0,936256320.00
24,0,79318,0,936586944.00
25,0,79257,0,935866656.00
26,0,79283,0,936173664.00
27,0,79311,0,936504288.00
28,0,79304,0,936421632.00
29,0,79284,0,936185472.00
30,0,79251,0,935795808.00
31,0,79349,0,936952992.00
32,0,79350,0,936964800.00
33,0,79296,0,936327168.00
34,0,79401,0,937567008.00
35,0,79354,0,937012032.00
36,0,79306,0,936445248.00
37,0,79269,0,936008352.00
38,0,79236,0,935618688.00
39,0,79356,0,937035648.00
40,0,79388,0,937413504.00
41,0,79322,0,936634176.00
42,0,79285,0,936197280.00
43,0,79277,0,936102816.00
44,0,79351,0,936976608.00
45,0,79354,0,937012032.00
46,0,79328,0,936705024.00
47,0,79363,0,937118304.00
48,0,79310,0,936492480.00
49,0,79446,0,938098368.00
50,0,79432,0,937933056.00
51,0,79316,0,936563328.00
52,0,79330,0,936728640.00
53,0,79374,0,937248192.00
54,0,79337,0,936811296.00
55,0,79329,0,936716832.00
56,0,79306,0,936445248.00
57,0,79250,0,935784000.00
58,0,79242,0,935689536.00
59,0,79210,0,935311680.00
60,0,77190,0,911459520.00
