time,tcp,udp,icmp,bitrate
1,0,47356,0,559179648.00
2,0,47277,0,558246816.00
3,0,47203,0,557373024.00
4,0,47149,0,556735392.00
5,0,47156,0,556818048.00
6,0,47419,0,559923552.00
7,0,47458,0,560384064.00
8,0,47452,0,560313216.00
9,0,47447,0,560254176.00
10,0,47451,0,560301408.00
11,0,47418,0,559911744.00
12,0,47418,0,559911744.00
13,0,47426,0,560006208.00
14,0,47402,0,559722816.00
15,0,47393,0,559616544.00
16,0,47393,0,559616544.00
17,0,47395,0,559640160.00
18,0,47426,0,560006208.00
19,0,47424,0,559982592.00
20,0,47458,0,560384064.00
21,0,47450,0,560289600.00
22,0,47446,0,560242368.00
23,0,47399,0,559687392.00
24,0,47459,0,560395872.00
25,0,47435,0,560112480.00
26,0,47447,0,560254176.00
27,0,47442,0,560195136.00
28,0,47451,0,560301408.00
29,0,47433,0,560088864.00
30,0,47443,0,560206944.00
31,0,47458,0,560384064.00
32,0,47442,0,560195136.00
33,0,47456,0,560360448.00
34,0,47380,0,559463040.00
35,0,47130,0,556511040.00
36,0,47122,0,556416576.00
37,0,47144,0,556676352.00
38,0,47161,0,556877088.00
39,0,47111,0,556286688.00
40,0,47158,0,556841664.00
41,0,47125,0,556452000.00
42,0,47150,0,556747200.00
43,0,47294,0,558447552.00
44,0,47401,0,559711008.00
45,0,47386,0,559533888.00
46,0,47408,0,559793664.00
47,0,47428,0,560029824.00
48,0,47434,0,560100672.00
49,0,47438,0,560147904.00
50,0,47414,0,559864512.00
51,0,47454,0,560336832.00
52,0,47478,0,560620224.00
53,0,47466,0,560478528.00
54,0,47481,0,560655648.00
55,0,47427,0,560018016.00
56,0,47407,0,559781856.00
57,0,47408,0,559793664.00
58,0,47447,0,560254176.00
59,0,47410,0,559817280.00
60,0,46115,0,544525920.00
