time,tcp,udp,icmp,bitrate
1,0,78266,0,924164928.00
2,0,78266,0,924164928.00
3,0,78266,0,924164928.00
4,0,78217,0,923586336.00
5,0,78292,0,924471936.00
6,0,78298,0,924542784.00
7,0,78280,0,924330240.00
8,0,78233,0,923775264.00
9,0,78133,0,922594464.00
10,0,78163,0,922948704.00
11,0,78158,0,922889664.00
12,0,78155,0,922854240.00
13,0,78179,0,923137632.00
14,0,78109,0,922311072.00
15,0,78231,0,923751648.00
16,0,78269,0,924200352.00
17,0,78293,0,924483744.00
18,0,78294,0,924495552.00
19,0,78209,0,923491872.00
20,0,78318,0,924778944.00
21,0,78311,0,924696288.00
22,0,78284,0,924377472.00
23,0,78230,0,923739840.00
24,0,78243,0,923893344.00
25,0,78307,0,924649056.00
26,0,78272,0,924235776.00
27,0,78304,0,924613632.00
28,0,78215,0,923562720.00
29,0,78155,0,922854240.00
30,0,78202,0,923409216.00
31,0,78149,0,922783392.00
32,0,78207,0,923468256.00
33,0,78230,0,923739840.00
34,0,78224,0,923668992.00
35,0,78250,0,923976000.00
36,0,78239,0,923846112.00
37,0,78252,0,923999616.00
38,0,78266,0,924164928.00
39,0,78174,0,923078592.00
40,0,78322,0,924826176.00
41,0,78219,0,923609952.00
42,0,78251,0,923987808.00
43,0,78218,0,923598144.00
44,0,78235,0,923798880.00
45,0,78155,0,922854240.00
46,0,78246,0,923928768.00
47,0,78218,0,923598144.00
48,0,78217,0,923586336.00
49,0,78217,0,923586336.00
50,0,78298,0,924542784.00
51,0,78318,0,924778944.00
52,0,78253,0,924011424.00
53,0,78210,0,923503680.00
54,0,78296,0,924519168.00
55,0,78231,0,923751648.00
56,0,78247,0,923940576.00
57,0,78275,0,924271200.00
58,0,78285,0,924389280.00
59,0,78214,0,923550912.00
60,0,76730,0,906027840.00
