time,tcp,udp,icmp,bitrate
1,0,81397,0,961135776.00
2,0,81627,0,963851616.00
3,0,81837,0,966331296.00
4,0,81781,0,965670048.00
5,0,81848,0,966461184.00
6,0,81575,0,963237600.00
7,0,81811,0,966024288.00
8,0,81772,0,965563776.00
9,0,81803,0,965929824.00
10,0,81771,0,965551968.00
11,0,81818,0,966106944.00
12,0,81762,0,965445696.00
13,0,81801,0,965906208.00
14,0,81771,0,965551968.00
15,0,81796,0,965847168.00
16,0,81786,0,965729088.00
17,0,81801,0,965906208.00
18,0,81809,0,966000672.00
19,0,81797,0,965858976.00
20,0,81774,0,965587392.00
21,0,81808,0,965988864.00
22,0,81799,0,965882592.00
23,0,81802,0,965918016.00
24,0,81692,0,964619136.00
25,0,81602,0,963556416.00
26,0,81522,0,962611776.00
27,0,81646,0,964075968.00
28,0,81711,0,964843488.00
29,0,81613,0,963686304.00
30,0,81604,0,963580032.00
31,0,81776,0,965611008.00
32,0,81616,0,963721728.00
33,0,81619,0,963757152.00
34,0,81601,0,963544608.00
35,0,81792,0,965799936.00
36,0,81785,0,965717280.00
37,0,81788,0,965752704.00
38,0,81608,0,963627264.00
39,0,81602,0,963556416.00
40,0,81782,0,965681856.00
41,0,81792,0,965799936.00
42,0,81752,0,965327616.00
43,0,81646,0,964075968.00
44,0,81804,0,965941632.00
45,0,81769,0,965528352.00
46,0,81629,0,963875232.00
47,0,81762,0,965445696.00
48,0,81657,0,964205856.00
49,0,81770,0,965540160.00
50,0,81847,0,966449376.00
51,0,81942,0,967571136.00
52,0,81871,0,966732768.00
53,0,81899,0,967063392.00
54,0,81972,0,967925376.00
55,0,81816,0,966083328.00
56,0,81639,0,963993312.00
57,0,81804,0,965941632.00
58,0,81808,0,965988864.00
59,0,81807,0,965977056.00
60,0,79234,0,935595072.00
